AMB_TEMP CH4 CO NMHC O3 PM10 RH SO2 THC UVB WD_HR WIND_DIREC WIND_SPEED WS_HR
14 1 0 0 29 16 78 1 2 1 92 88 3 2
27 1 0 0 25 24 85 4 1 1 98 124 1 0
30 1 0 0 18 17 69 8 2 1 114 115 5 5
21 2 0 0 20 41 89 1 2 1 151 190 1 1
32 1 0 0 64 51 56 6 2 8 188 143 1 0
34 1 0 0 65 41 64 4 1 9 277 280 1 0
24 1 0 0 56 49 72 1 2 1 55 66 1 1
26 1 0 0 42 18 73 1 1 1 81 73 2 1
29 1 1 0 29 55 52 1 2 1 145 145 2 1
18 1 0 0 25 49 69 4 2 1 161 237 1 0
17 1 0 0 57 35 72 3 2 1 334 37 3 1
29 1 0 0 32 43 80 5 2 1 82 224 1 0
23 1 2 0 29 65 75 4 2 1 145 145 2 1
28 1 0 0 4 37 85 3 2 1 231 226 1 1
24 1 0 0 42 33 76 1 1 1 84 86 3 2
13 1 0 0 17 26 87 4 2 1 99 101 3 3
25 2 1 0 4 19 90 3 3 1 231 71 0 0
26 1 0 0 59 33 47 1 1 1 222 248 1 0
27 1 0 0 25 19 81 2 2 1 214 213 9 8
18 1 0 0 38 26 100 1 2 1 145 145 2 1
23 1 0 0 36 21 92 1 2 1 114 118 0 1
33 1 0 0 17 41 60 2 2 1 275 285 2 1
23 1 0 0 77 65 85 2 2 1 49 52 5 4
24 1 0 0 2 68 91 4 2 1 178 144 0 0
31 1 0 0 62 43 68 2 2 1 277 281 2 2
24 1 0 0 42 51 86 1 1 1 88 86 1 1
23 1 0 0 31 16 92 1 2 1 115 114 1 1
28 2 0 0 5 26 79 1 2 1 56 40 1 1
19 1 0 0 28 24 85 1 2 1 188 173 2 1
26 1 1 0 12 40 78 4 2 1 293 305 2 1
35 1 0 0 29 22 51 2 2 1 145 145 2 1
28 1 0 0 11 35 77 1 1 1 212 196 0 1
33 1 0 0 32 26 60 2 1 1 258 269 3 2
22 1 0 0 12 26 79 0 2 1 221 316 0 0
27 1 0 0 4 35 90 1 2 1 177 204 1 1
28 1 0 0 24 24 76 3 2 1 185 183 5 5
26 1 0 0 42 29 65 4 2 1 66 70 1 1
25 1 0 0 27 23 75 3 2 1 80 36 0 1
15 1 0 0 36 134 53 4 2 1 81 76 6 7
18 1 0 0 43 107 61 11 2 1 55 73 1 1
23 2 1 0 29 68 75 5 2 1 145 145 2 1
22 1 0 0 31 26 75 5 2 1 60 53 4 4
12 1 0 0 52 89 64 5 2 1 64 58 3 2
30 1 0 0 7 41 77 2 1 1 80 83 4 3
23 1 0 0 3 38 75 4 2 0 145 145 2 1
23 1 0 0 50 50 87 2 2 1 113 142 1 1
23 1 0 0 38 17 78 3 2 1 89 92 3 3
23 1 0 0 35 43 71 3 2 1 49 44 5 4
23 1 0 0 47 25 80 0 1 1 277 276 0 0
22 1 0 0 6 54 92 1 2 1 198 178 1 1
15 1 0 0 22 71 64 8 2 1 257 284 1 1
23 1 0 0 39 18 100 2 2 1 145 145 2 1
27 1 1 0 23 62 78 7 2 1 97 103 2 1
29 1 0 0 9 7 68 0 1 1 104 86 2 1
28 1 0 0 75 63 50 4 2 1 316 291 1 0
25 1 0 0 48 10 98 1 2 1 69 69 8 8
28 1 0 0 14 32 74 5 2 1 136 48 1 0
23 1 0 0 49 32 89 3 2 1 145 145 2 1
31 1 0 0 60 49 4 0 2 1 0 145 2 1
14 1 0 0 35 36 81 1 2 1 62 63 3 4
27 1 0 0 3 37 83 6 2 1 180 231 0 0
18 1 0 0 36 42 61 1 2 4 90 80 2 2
26 1 0 0 4 20 92 1 2 1 6 38 0 0
26 1 0 0 44 23 86 2 2 1 145 145 2 1
23 5 1 0 29 63 86 3 6 1 145 145 2 1
15 1 0 0 34 45 80 3 2 1 52 51 6 6
11 2 0 0 36 62 74 2 2 1 63 49 1 1
34 1 0 0 49 45 50 2 2 1 250 253 4 4
18 1 0 0 56 7 100 1 2 1 145 145 2 1
18 1 0 0 22 38 85 2 2 1 286 284 1 1
26 1 0 0 45 22 72 2 2 0 109 108 1 0
12 1 0 0 30 48 51 2 2 1 89 81 3 2
14 1 0 0 44 11 95 0 1 1 86 92 1 1
8 1 0 0 48 24 100 1 2 1 145 145 2 1
30 1 0 0 11 21 83 1 1 1 90 92 1 1
21 1 0 0 44 55 77 4 2 1 84 74 3 3
24 2 1 0 12 32 91 4 2 1 272 262 1 0
23 2 1 0 15 73 74 5 2 1 260 251 1 1
23 1 0 0 32 7 80 1 2 1 160 157 2 1
16 1 0 0 25 41 60 2 2 1 110 93 2 2
35 1 0 0 64 28 59 2 1 8 284 296 1 0
15 1 0 0 36 23 86 1 1 1 71 68 2 1
17 1 0 0 60 46 91 2 2 1 54 48 11 6
30 1 0 0 26 36 76 8 2 2 96 78 1 1
21 1 0 0 45 43 81 2 2 1 62 63 1 1
25 1 0 0 4 38 94 3 2 1 236 226 1 2
13 2 0 0 15 35 66 1 2 1 41 41 1 1
17 1 0 0 40 23 66 1 2 1 107 127 2 2
15 1 0 0 92 44 87 4 2 1 145 145 2 1
28 1 0 0 1 28 72 1 2 1 183 175 0 0
18 1 0 0 52 83 71 2 2 1 253 183 1 0
23 1 0 0 42 45 75 3 2 1 236 240 4 3
22 1 0 0 23 50 86 8 2 1 58 61 1 1
